iter	Passed	Remaining
0	3	3922
1	7	3634
2	12	4015
3	16	4134
4	21	4228
5	27	4502
6	32	4677
7	37	4609
8	40	4439
9	44	4384
10	47	4277
11	52	4356
12	59	4534
13	63	4451
14	68	4486
15	71	4379
16	75	4379
17	82	4483
18	85	4413
19	90	4442
20	95	4446
21	100	4450
22	105	4500
23	111	4544
24	116	4558
25	119	4490
26	123	4450
27	126	4402
28	130	4364
29	135	4387
30	140	4397
31	146	4439
32	152	4475
33	167	4772
34	172	4760
35	179	4798
36	188	4900
37	192	4865
38	197	4877
39	203	4888
40	208	4879
41	212	4856
42	216	4814
43	219	4773
44	225	4786
45	231	4791
46	236	4790
47	241	4789
48	248	4823
49	253	4824
50	262	4881
51	268	4901
52	275	4914
53	279	4902
54	285	4898
55	320	5410
56	326	5396
57	332	5395
58	336	5360
59	340	5341
60	345	5321
61	350	5297
62	356	5296
63	359	5260
64	363	5235
65	368	5216
66	374	5218
67	378	5192
68	384	5187
69	389	5180
70	393	5143
71	398	5133
72	403	5125
73	408	5108
74	413	5099
75	419	5101
76	425	5100
77	430	5091
78	436	5086
79	441	5071
80	445	5057
81	451	5052
82	456	5043
83	460	5024
84	465	5009
85	468	4977
86	472	4958
87	477	4945
88	480	4918
89	485	4911
90	491	4905
91	494	4879
92	500	4883
93	506	4886
94	512	4883
95	516	4859
96	521	4854
97	525	4836
98	530	4824
99	533	4799
100	539	4798
101	543	4781
102	548	4773
103	553	4771
104	574	4892
105	578	4882
106	585	4883
107	590	4873
108	594	4862
109	598	4841
110	602	4822
111	606	4812
112	613	4814
113	619	4814
114	624	4809
115	629	4797
116	632	4776
117	637	4766
118	672	4979
119	677	4971
120	681	4952
121	687	4947
122	691	4931
123	698	4931
124	704	4930
125	710	4929
126	716	4925
127	722	4923
128	729	4926
129	733	4910
130	739	4906
131	743	4888
132	749	4887
133	755	4882
134	760	4870
135	767	4872
136	773	4869
137	776	4853
138	782	4846
139	788	4840
140	794	4838
141	800	4839
142	804	4823
143	809	4814
144	815	4807
145	822	4812
146	826	4798
147	832	4791
148	835	4772
149	862	4886
150	869	4886
151	875	4884
152	881	4882
153	888	4880
154	893	4869
155	900	4872
156	906	4869
157	913	4869
158	916	4849
159	921	4838
160	926	4828
161	930	4814
162	934	4798
163	939	4790
164	943	4773
165	950	4775
166	953	4754
167	957	4742
168	962	4733
169	967	4722
170	971	4710
171	975	4698
172	980	4689
173	987	4690
174	993	4685
175	999	4679
176	1005	4675
177	1010	4668
178	1016	4664
179	1022	4656
180	1028	4654
181	1032	4642
182	1039	4638
183	1044	4631
184	1047	4614
185	1050	4596
186	1054	4585
187	1058	4571
188	1062	4560
189	1067	4551
190	1072	4544
191	1078	4537
192	1083	4532
193	1089	4524
194	1094	4516
195	1100	4513
196	1105	4504
197	1110	4496
198	1113	4483
199	1119	4477
200	1123	4465
201	1127	4452
202	1133	4449
203	1155	4507
204	1160	4500
205	1164	4487
206	1170	4483
207	1178	4487
208	1199	4538
209	1204	4529
210	1208	4520
211	1213	4510
212	1218	4503
213	1223	4493
214	1226	4479
215	1231	4469
216	1237	4466
217	1243	4460
218	1248	4451
219	1250	4435
220	1254	4422
221	1258	4411
222	1262	4398
223	1266	4389
224	1272	4384
225	1277	4375
226	1281	4363
227	1286	4355
228	1290	4343
229	1295	4336
230	1299	4324
231	1303	4315
232	1308	4305
233	1312	4295
234	1317	4287
235	1320	4276
236	1326	4269
237	1331	4263
238	1335	4253
239	1340	4245
240	1345	4238
241	1351	4233
242	1357	4228
243	1362	4220
244	1370	4222
245	1379	4227
246	1382	4214
247	1385	4202
248	1389	4191
249	1393	4180
250	1397	4171
251	1401	4160
252	1406	4152
253	1420	4172
254	1424	4162
255	1428	4152
256	1433	4143
257	1437	4134
258	1465	4193
259	1470	4185
260	1474	4173
261	1478	4163
262	1483	4156
263	1494	4165
264	1501	4164
265	1505	4155
266	1509	4145
267	1514	4137
268	1520	4130
269	1524	4122
270	1530	4117
271	1535	4110
272	1540	4101
273	1543	4090
274	1548	4082
275	1567	4111
276	1571	4101
277	1574	4089
278	1579	4082
279	1583	4072
280	1587	4061
281	1602	4079
282	1607	4071
283	1611	4062
284	1617	4057
285	1621	4047
286	1625	4038
287	1629	4028
288	1633	4019
289	1637	4008
290	1641	3999
291	1646	3991
292	1650	3983
293	1663	3993
294	1669	3988
295	1672	3978
296	1678	3973
297	1684	3967
298	1686	3955
299	1691	3945
300	1696	3939
301	1708	3948
302	1714	3943
303	1719	3937
304	1725	3932
305	1728	3920
306	1732	3911
307	1736	3902
308	1740	3891
309	1743	3881
310	1748	3874
311	1752	3865
312	1759	3861
313	1765	3856
314	1771	3852
315	1776	3846
316	1780	3835
317	1784	3827
318	1789	3820
319	1803	3832
320	1808	3824
321	1812	3816
322	1818	3811
323	1823	3804
324	1830	3801
325	1836	3796
326	1848	3804
327	1854	3799
328	1859	3792
329	1862	3782
330	1873	3787
331	1879	3780
332	1883	3772
333	1888	3765
334	1902	3776
335	1908	3771
336	1913	3763
337	1918	3756
338	1921	3746
339	1925	3738
340	1930	3731
341	1934	3722
342	1940	3717
343	1943	3706
344	1946	3695
345	1949	3684
346	1957	3683
347	1967	3685
348	1986	3706
349	2001	3717
350	2007	3712
351	2011	3703
352	2017	3697
353	2022	3691
354	2026	3681
355	2029	3671
356	2031	3658
